"ID","items","support","transIdenticalToItemsets","count"
"27","{COMP8410,COMP8430}",0.589928057553957,0.0359712230215827,82
"26","{COMP6730,COMP8430}",0.41726618705036,0,58
"25","{COMP6730,COMP8410}",0.381294964028777,0,53
"10","{COMP6240,COMP6730}",0.352517985611511,0.122302158273381,49
"21","{COMP6490,COMP8430}",0.352517985611511,0,49
"20","{COMP6490,COMP8410}",0.345323741007194,0,48
"60","{COMP6730,COMP8410,COMP8430}",0.345323741007194,0,48
"24","{COMP7240,COMP8430}",0.338129496402878,0.00719424460431655,47
"56","{COMP6490,COMP8410,COMP8430}",0.338129496402878,0.00719424460431655,47
"23","{COMP7240,COMP8410}",0.323741007194245,0,45
"16","{COMP8410,COMP8420}",0.316546762589928,0,44
"17","{COMP8420,COMP8430}",0.309352517985612,0,43
"51","{COMP8410,COMP8420,COMP8430}",0.309352517985612,0,43
"59","{COMP7240,COMP8410,COMP8430}",0.302158273381295,0.00719424460431655,42
"22","{COMP6730,COMP7240}",0.287769784172662,0.0503597122302158,40
"11","{COMP6240,COMP8410}",0.244604316546763,0,34
"12","{COMP6240,COMP8430}",0.244604316546763,0,34
"42","{COMP6240,COMP8410,COMP8430}",0.23021582733813,0,32
"13","{COMP6490,COMP8420}",0.215827338129496,0,30
"19","{COMP6490,COMP6730}",0.215827338129496,0,30
"45","{COMP6490,COMP8410,COMP8420}",0.215827338129496,0,30
"46","{COMP6490,COMP8420,COMP8430}",0.215827338129496,0,30
"71","{COMP6490,COMP8410,COMP8420,COMP8430}",0.215827338129496,0.00719424460431655,30
"55","{COMP6490,COMP6730,COMP8430}",0.20863309352518,0,29
"54","{COMP6490,COMP6730,COMP8410}",0.201438848920863,0,28
"14","{COMP7240,COMP8420}",0.194244604316547,0,27
"18","{COMP6490,COMP7240}",0.194244604316547,0,27
"40","{COMP6240,COMP6730,COMP8410}",0.194244604316547,0.00719424460431655,27
"41","{COMP6240,COMP6730,COMP8430}",0.194244604316547,0,27
"52","{COMP6490,COMP7240,COMP8410}",0.194244604316547,0,27
"75","{COMP6490,COMP6730,COMP8410,COMP8430}",0.194244604316547,0,27
"47","{COMP7240,COMP8410,COMP8420}",0.18705035971223,0,26
"48","{COMP7240,COMP8420,COMP8430}",0.18705035971223,0,26
"53","{COMP6490,COMP7240,COMP8430}",0.18705035971223,0,26
"72","{COMP7240,COMP8410,COMP8420,COMP8430}",0.18705035971223,0.00719424460431655,26
"74","{COMP6490,COMP7240,COMP8410,COMP8430}",0.18705035971223,0,26
"15","{COMP6730,COMP8420}",0.179856115107914,0,25
"49","{COMP6730,COMP8410,COMP8420}",0.179856115107914,0,25
"58","{COMP6730,COMP7240,COMP8430}",0.179856115107914,0.0287769784172662,25
"66","{COMP6240,COMP6730,COMP8410,COMP8430}",0.179856115107914,0.0503597122302158,25
"7","{COMP8430,COMP8600}",0.172661870503597,0,24
"50","{COMP6730,COMP8420,COMP8430}",0.172661870503597,0,24
"57","{COMP6730,COMP7240,COMP8410}",0.172661870503597,0.0143884892086331,24
"73","{COMP6730,COMP8410,COMP8420,COMP8430}",0.172661870503597,0.00719424460431655,24
"76","{COMP6730,COMP7240,COMP8410,COMP8430}",0.151079136690647,0.0143884892086331,21
"1","{COMP7230,COMP7240}",0.143884892086331,0,20
"6","{COMP8410,COMP8600}",0.143884892086331,0,20
"9","{COMP6240,COMP6490}",0.143884892086331,0,20
"34","{COMP8410,COMP8430,COMP8600}",0.143884892086331,0,20
"39","{COMP6240,COMP6490,COMP8430}",0.143884892086331,0,20
"2","{COMP7230,COMP8410}",0.136690647482014,0,19
"3","{COMP7230,COMP8430}",0.136690647482014,0,19
"30","{COMP7230,COMP8410,COMP8430}",0.136690647482014,0,19
"43","{COMP6490,COMP7240,COMP8420}",0.136690647482014,0,19
"67","{COMP6490,COMP7240,COMP8410,COMP8420}",0.136690647482014,0,19
"68","{COMP6490,COMP7240,COMP8420,COMP8430}",0.136690647482014,0,19
"77","{COMP6490,COMP7240,COMP8410,COMP8420,COMP8430}",0.136690647482014,0.0215827338129496,19
"38","{COMP6240,COMP6490,COMP8410}",0.129496402877698,0,18
"65","{COMP6240,COMP6490,COMP8410,COMP8430}",0.129496402877698,0.00719424460431655,18
"4","{COMP8420,COMP8600}",0.122302158273381,0,17
"5","{COMP6730,COMP8600}",0.115107913669065,0,16
"8","{COMP6240,COMP8420}",0.115107913669065,0.00719424460431655,16
"28","{COMP7230,COMP7240,COMP8410}",0.115107913669065,0,16
"29","{COMP7230,COMP7240,COMP8430}",0.115107913669065,0,16
"31","{COMP8410,COMP8420,COMP8600}",0.115107913669065,0,16
"32","{COMP8420,COMP8430,COMP8600}",0.115107913669065,0,16
"33","{COMP6730,COMP8430,COMP8600}",0.115107913669065,0.0287769784172662,16
"61","{COMP7230,COMP7240,COMP8410,COMP8430}",0.115107913669065,0.0287769784172662,16
"62","{COMP8410,COMP8420,COMP8430,COMP8600}",0.115107913669065,0,16
"35","{COMP6240,COMP8410,COMP8420}",0.107913669064748,0,15
"37","{COMP6240,COMP6490,COMP6730}",0.107913669064748,0,15
"64","{COMP6240,COMP6490,COMP6730,COMP8430}",0.107913669064748,0.0143884892086331,15
"36","{COMP6240,COMP8420,COMP8430}",0.100719424460432,0,14
"44","{COMP6490,COMP6730,COMP8420}",0.100719424460432,0,14
"63","{COMP6240,COMP8410,COMP8420,COMP8430}",0.100719424460432,0,14
"69","{COMP6490,COMP6730,COMP8410,COMP8420}",0.100719424460432,0,14
"70","{COMP6490,COMP6730,COMP8420,COMP8430}",0.100719424460432,0,14
"78","{COMP6490,COMP6730,COMP8410,COMP8420,COMP8430}",0.100719424460432,0.0143884892086331,14
